name,texto,cluster_textclass
Immerwolf,Intimidate (This creature can’t be blocked except by artifact creatures and/or creatures that share a color with it.)Each other creature you control that’s a Wolf or a Werewolf gets +1/+1.Non-Human Werewolves you control can’t transform.,312
"Jenson Carthalion, Druid Exile","Whenever you cast a multicolored spell, scry 1. If that spell was all colors, create a 4/4 white Angel creature token with flying and vigilance.{5}, {T}: Add {W}{U}{B}{R}{G}.",293
"Shanid, Sleepers' Scourge","MenaceOther legendary creatures you control have menace.Whenever you play a legendary land or cast a legendary spell, you draw a card and you lose 1 life.",48
"Zeriam, Golden Wind","FlyingWhenever a Griffin you control deals combat damage to a player, create a 2/2 white Griffin creature token with flying.",57
"Moira, Urborg Haunt","MenaceWhenever Moira, Urborg Haunt deals combat damage to a player, return to the battlefield target creature card in your graveyard that was put there from the battlefield this turn.",70
"Bladewing, Deathless Tyrant","Flying, hasteWhenever Bladewing, Deathless Tyrant deals combat damage to a player or planeswalker, for each creature card in your graveyard, create a 2/2 black Zombie Knight creature token with menace.",483
"Cadric, Soul Kindler","The “legend rule” doesn’t apply to tokens you control.Whenever another nontoken legendary permanent enters the battlefield under your control, you may pay {1}. If you do, create a token that’s a copy of it. That token gains haste. Sacrifice it at the beginning of the next end step.",109
Fallaji Wayfarer,Fallaji Wayfarer is all colors. This ability doesn’t affect its color identity. (It can be in any deck whose commander’s color identity includes green.)Multicolored spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a multicolored spell pays for {1} or one mana of a color that creature is.),198
Primeval Spawn,"If Primeval Spawn would enter the battlefield and it wasn’t cast or no mana was spent to cast it, exile it instead.Vigilance, trample, lifelinkWhen Primeval Spawn leaves the battlefield, exile the top ten cards of your library. You may cast any number of spells with total mana value 10 or less from among them without paying their mana costs.",294
Two-Headed Hellkite,"Flying, menace, hasteWhenever Two-Headed Hellkite attacks, draw two cards.",442
"Verrak, Warped Sengir","Flying, deathtouch, lifelinkWhenever you activate an ability that isn’t a mana ability, if life was paid to activate it, you may pay that much life again. If you do, copy that ability. You may choose new targets for the copy.",81
The Peregrine Dynamo,"Haste{1}, {T}: Copy target activated or triggered ability you control from another legendary source that’s not a commander. You may choose new targets for the copy. (Mana abilities can’t be targeted.)",98
Tiller Engine,"Whenever a land enters the battlefield tapped and under your control, choose one —• Untap that land.• Tap target nonland permanent an opponent controls.",175
Robaran Mercenaries,VigilanceRobaran Mercenaries has all activated abilities of all legendary creatures you control.,403
Emperor Mihail II,"You may look at the top card of your library any time.You may cast Merfolk spells from the top of your library.Whenever you cast a Merfolk spell, you may pay {1}. If you do, create a 1/1 blue Merfolk creature token.",538
"Rosnakht, Heir of Rohgahh","Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)Heroic — Whenever you cast a spell that targets Rosnakht, Heir of Rohgahh, create a 0/1 red Kobold creature token named Kobolds of Kher Keep.",84
"Baru, Wurmspeaker","Wurms you control get +2/+2 and have trample.{7}{G}, {T}: Create a 4/4 green Wurm creature token. This ability costs {X} less to activate, where X is the greatest power among Wurms you control.",417
"Ayesha Tanaka, Armorer","Whenever Ayesha Tanaka, Armorer attacks, look at the top four cards of your library. You may put any number of artifact cards with mana value less than or equal to Ayesha’s power from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.Ayesha can’t be blocked as long as defending player controls three or more artifacts.",157
The Ever-Changing 'Dane,"{1}, Sacrifice another creature: The Ever-Changing ‘Dane becomes a copy of the sacrificed creature, except it has this ability.",304
General Marhault Elsdragon,"Whenever a creature you control becomes blocked, it gets +3/+3 until end of turn for each creature blocking it.",192
"Hazezon, Shaper of Sand","Desertwalk (This creature can’t be blocked as long as defending player controls a Desert.)You may play Desert lands from your graveyard.Whenever a Desert enters the battlefield under your control, create two 1/1 red, green, and white Sand Warrior creature tokens.",40
Jasmine Boreal of the Seven,{T}: Add {G}{W}. Spend this mana only to cast creature spells with no abilities.Creatures you control with no abilities can’t be blocked by creatures with abilities.,42
"Jedit Ojanen, Mercenary","Whenever Jedit Ojanen, Mercenary or another legendary creature enters the battlefield under your control, you may pay {G}. If you do, create a 2/2 green Cat Warrior creature token with forestwalk. (It can’t be blocked as long as defending player controls a Forest.)",142
The Lady of Otaria,"You may tap three untapped Dwarves you control rather than pay this spell’s mana cost.At the beginning of each end step, if a land you controlled was put into your graveyard from the battlefield this turn, reveal the top four cards of your library. Put any number of Dwarf cards from among them into your hand. Put the rest on the bottom of your library in a random order.",149
Ohabi Caleria,"ReachUntap all Archers you control during each other player’s untap step.Whenever an Archer you control deals damage to a creature, you may pay {2}. If you do, draw a card.",172
"Orca, Siege Demon","TrampleWhenever another creature dies, put a +1/+1 counter on Orca, Siege Demon.When Orca dies, it deals damage equal to its power divided as you choose among any number of targets.",79
"Ramirez DePietro, Pillager","When Ramirez DePietro, Pillager enters the battlefield, you lose 2 life and create two Treasure tokens.Whenever one or more Pirates you control deal combat damage to a player, exile the top card of that player’s library. You may cast that card for as long as it remains exiled.",124
"Ramses, Assassin Lord","DeathtouchOther Assassins you control get +1/+1.Whenever a player loses the game, if they were attacked this turn by an Assassin you controlled, you win the game.",82
"Rasputin, the Oneiromancer","When Rasputin, the Oneiromancer enters the battlefield, put a dream counter on it for each opponent you have. Each opponent creates a 1/1 red Goblin creature token.{T}, Remove one or more dream counters from Rasputin: Add that much {C}.{T}, Remove a dream counter from Rasputin: Create a 2/2 white Knight creature token with protection from red.",432
"Rohgahh, Kher Keep Overlord","Other Kobolds you control get +2/+2.Whenever you cast a Kobold spell, you may pay {2}. If you do, create a 4/4 red Dragon creature token with flying.Whenever you cast a Dragon spell, create a 0/1 red Kobold creature token named Kobolds of Kher Keep.",46
"Stangg, Echo Warrior","Whenever Stangg, Echo Warrior attacks, create Stangg Twin, a legendary 3/4 red and green Human Warrior creature token. It enters the battlefield tapped and attacking. For each Aura and Equipment attached to Stangg, create a token that’s a copy of it attached to Stangg Twin. Sacrifice all tokens created this way at the beginning of the next end step.",432
"Tetsuo, Imperial Champion","Whenever Tetsuo, Imperial Champion attacks, if it’s equipped, choose one —• Tetsuo deals damage equal to the highest mana value among Equipment attached to it to any target.• You may cast an instant or sorcery spell from your hand with mana value less than or equal to the highest mana value among Equipment attached to Tetsuo without paying its mana cost.",42
"Tobias, Doomed Conqueror","FlashWhen Tobias, Doomed Conqueror dies, create a 2/2 black Zombie creature token for each nontoken creature that died under your control this turn.",151
Tor Wauki the Younger,"Reach, lifelinkIf another source you control would deal noncombat damage to a permanent or player, it deals that much damage plus 1 to that permanent or player instead.Whenever you cast an instant or sorcery spell, Tor Wauki the Younger deals 2 damage to any target.",514
"Torsten, Founder of Benalia","When Torsten, Founder of Benalia enters the battlefield, reveal the top seven cards of your library. Put any number of creature and/or land cards from among them into your hand and the rest on the bottom of your library in a random order.When Torsten dies, create seven 1/1 white Soldier creature tokens.",432
"Xira, the Golden Sting","Flying, hasteWhenever Xira, the Golden Sting attacks, put an egg counter on another target creature without an egg counter on it. When that creature dies, if it has an egg counter on it, draw a card and create a 1/1 black Insect creature token with flying.",530
Hero of Precinct One,"Whenever you cast a multicolored spell, create a 1/1 white Human creature token.",432
"Josu Vess, Lich Knight","Kicker {5}{B} (You may pay an additional {5}{B} as you cast this spell.)MenaceWhen Josu Vess, Lich Knight enters the battlefield, if it was kicked, create eight 2/2 black Zombie Knight creature tokens with menace.",318
"Kothophed, Soul Hoarder","FlyingWhenever a permanent owned by another player is put into a graveyard from the battlefield, you draw a card and you lose 1 life.",308
Captain Lannery Storm,"HasteWhenever Captain Lannery Storm attacks, create a Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn.",9
"Krenko, Tin Street Kingpin","Whenever Krenko, Tin Street Kingpin attacks, put a +1/+1 counter on it, then create a number of 1/1 red Goblin creature tokens equal to Krenko’s power.",135
"Neheb, Dreadhorde Champion","TrampleWhenever Neheb, Dreadhorde Champion deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don’t lose this mana as steps and phases end.",505
Arvad the Cursed,"Deathtouch, lifelinkOther legendary creatures you control get +2/+2.",16
